10Cb	10th cerebellar lobule (nodule)	00D83D
10N	dorsal motor nucleus of vagus	1D9FC8
10n	vagus nerve	CA00D4
11N	accessory nerve nucleus	85DFB0
12GH	hypoglossal nucleus, geniohyoid part	2CEF8A
12N	hypoglossal nucleus	3BBBE3
12n	root of hypoglossal nerve	F700FF
1Cb	1st cerebellar lobule (lingula)	00FF38
2-3Cb	2nd and 3rd cerebellar lobules	23F25E
2Cb	2nd cerebellar lobule	00D427
2bCb	2b cerebellar lobule	00FF2E
2n	optic nerve	777777
3-4Cb	3rd and 4th cerebellar lobules	8EFFAF
3Cb	3rd cerebellar lobule	23CB54
3N	oculomotor nucleus	0056E9
3PC	oculomotor nucleus, parvicellular part	005EFF
3V	3rd ventricle	FFB2DC
3n	oculomotor nerve	E759E9
4-5Cb	4th and 5th cerebellar lobules	6BF292
45Cb	-------	777777
4Cb	4th cerebellar lobule	47CB6D
4N	trochlear nucleus	0050FF
4Sh	trochlear nucleus shell region	0050FF
4V	4th ventricle	FF0074
4n	trochlear nerve	FFB2FE
5ADi	motor trigeminal nucleus, anterior digastric part	76ECFF
5Cb	5th cerebellar lobule	00F246
5Gn	trigeminal ganglion (Gasseri)	777777
5MHy	motor trigeminal nucleus, mylohyoid part	B2F4FF
5Ma	motor trigeminal nucleus, masseter part	76D9E9
5N	motor trigeminal nucleus	B2F4FF
5Pt	-------	00C8E9
5Sol	trigeminal-solitary transition zone	FFB2BF
5TT	motor trigeminal nucleus, tensor tympani part	00DAFF
5Te	motor trigeminal nucleus, temporalis part	3BE2FF
5Tr	trigeminal transition zone	8565D8
6Cb	6th cerebellar lobule	3BFF62
6N	abducens nucleus	00D6FF
6RB	abducens nucleus, retractor bulbi part	00D7FF
6a	layer 6a of cortex	777777
6aCb	6a cerebellar lobule	00FF31
6b	layer 6b of cortex	777777
6bCb	6b cerebellar lobule	B2FFC1
6cCb	6c cerebellar lobule	59FF7A
6n	root of abducens nerve	E900E6
7Cb	7th cerebellar lobule	6BD88A
7DI	facial nucleus, dorsal intermediate subnucleus	00D4FF
7DL	facial nucleus, dorsolateral subnucleus	00C2E9
7DM	facial nucleus, dorsomedial subnucleus	B2F1FF
7L	facial nucleus, lateral subnucleus	3BCBE9
7N	facial nucleus	777777
7SH	facial motor nucleus, stylohyoid part	76E7FF
7VI	facial nucleus, ventral intermediate subnucleus	3BDCFF
7VM	facial nucleus, ventromedial subnucleus	76D5E9
7n	facial nerve	C900FF
7ni	nervus intermedius component of the facial nerve	C800FF
8Cb	8th cerebellar lobule	47E575
8Gn	vestibulocochlear ganglion	777777
8cn	cochlear root of the vestibulocochlear nerve	DD00FF
8n	vestibulocochlear nerve	777777
8vn	vestibular root of the vestibulocochlear nerve	F7B2FF
9Cb	9th cerebellar lobule	76E98F
9a-bCb	9th cerebellar lobule, a and b	00FF34
9cCb	9th cerebellar lobule, c	B2FFC2
9n	glossopharyngeal nerve	FF59F9
A	-------	777777
A1	A1 noradrenaline cells	FF59CE
A1-C1	A1 noradrenaline cells/C1 adrenaline cells	FFB2E7
A11	A11dopamine cells	FF00CB
A13	A13 dopamine cells	FFB2EC
A14	A14 dopamine cells	777777
A2	A2 noradrenaline cells	E959BA
A5	A5 noradrenaline cells	E9009A
A7	A7 noradrenaline cells	FF00A3
A8	A8 dopamine cells	777777
AA	anterior amygdaloid area	FFCBB2
AAD	-------	777777
AAV	-------	777777
ACo	anterior cortical amygdaloid nucleus	E8FF00
AD	anterodorsal thalamic nucleus	F2C347
ADP	-------	777777
AH	anterior hypothalamic area	777777
AHA	anterior hypothalamic area, anterior part	FF6600
AHC	anterior hypothalamic area, central part	FFD1B2
AHP	anterior hypothalamic area, posterior part	DF5A00
AHi	amygdalohippocampal area	777777
AHiAL	amygdalohippocampal area, anterolateral part	FFC1B2
AHiAM	-------	777777
AHiPL	amygdalohippocampal area, posterolateral	FF3300
AID	agranular insular cortex, dorsal part	D8DF00
AIP	agranular insular cortex, posterior part	F1F48E
AIV	agranular insular cortex, ventral part	E2E900
AL	nucleus of the ansa lenticularis	4300F2
AM	anteromedial thalamic nucleus	DF952C
AMV	anteromedial thalamic nucleus, ventral part	FF9500
ANS	accessory neurosecretory nuclei	4000E5
AO	anterior olfactory nucleus	CBE959
AOB	accessory olfactory bulb	777777
AOD	anterior olfactory nucleus, dorsal part	777777
AOE	anterior olfactory nucleus, external part	B1DF00
AOL	anterior olfactory nucleus, lateral part	DCFF59
AOM	anterior olfactory nucleus, medial part	777777
AOP	anterior olfactory nucleus, posterior part	C8FF00
AOV	anterior olfactory nucleus, ventral part	777777
AOVP	anterior olfactory nucleus, ventroposterior part	EEFFB2
AP	area postrema	1DA6D1
APT	anterior pretectal nucleus	3B6DFF
APTD	anterior pretectal nucleus, dorsal part	B2C7FF
APTV	anterior pretectal nucleus, ventral part	003FFF
APir	amygdalopiriform transition area	F8FFB2
ASt	amygdalostriatal transition area	794CED
ATg	anterior tegmental nucleus	00E9E9
ATh 	ATh	777777
AV	anteroventral thalamic nucleus	CF7B00
AVDM	anterovent thalamic nucleus, dorsomedial part	FF9700
AVPO	-------	777777
AVPe	anteroventral periventricular nucleus	FF7B00
AVVL	anteroventral thalamic nucleus, ventrolateral part	FFE0B2
Acb	accumbens nucleus	777777
AcbC	accumbens nucleus, core	FFF9B2
AcbR	accumbens nucleus, rostral pole	777777
AcbSh	accumbens nucleus, shell	FFEE00
Acbne	accumbens nucleus neuroepithelium	777777
Acs5	-------	777777
Acs6-7	accessory abducens/facial nucleus	777777
Acs7	-------	777777
Ahi	-------	777777
Al	alar nucleus	4A19C7
Amb	ambiguus nucleus	777777
AmbC	ambiguus nucleus, compact part	00FF19
AmbL	ambiguus nucleus, loose part	B2FFBB
AmbSC	ambiguus nucleus, subcompact part	59FF6D
Amy	-------	777777
AngT	angular thalamic nucleus	FFB900
Ant	-------	777777
Apir	-------	777777
Aq	aqueduct	FF004F
Arc	arcuate hypothalamic nucleus	FFA559
ArcD	arcuate hypothalamic nucleus, dorsal part	E96A00
ArcL	arcuate hypothalamic nucleus, lateral part	FFD5B2
ArcLP	arcuate hypothalamic nucleus, lateroposterior part	FFA559
ArcM	arcuate hypothalamic nucleus, medial part	E99B59
ArcMP	arcuate hypothalamic nucleus, medial posterior part	FF7500
Astr	-------	777777
Au	-------	777777
Au1	primary auditory cortex	FFFB00
Au2	-------	777777
AuD	secondary auditory cortex, dorsal area	FFFDB2
AuV	secondary auditory cortex, ventral area	FFFA00
B	basal nucleus (Meynert)	FFFBB2
B4	-------	777777
B9	B9 serotonin cells	00FFD0
BAC	bed nucleus of the anterior commissure	FF5200
BAOT	bed nucleus of the accessory olfactory tract	FFF500
BG	-------	777777
BIC	nucleus of the brachium of the inferior colliculus	002FFF
BL	basolateral amygdaloid nucleus	D45C3B
BLA	basolateral amygdaloid nucleus, anterior part	FF3500
BLP	basolateral amygdaloid nucleus, posterior part	FF7C59
BLV	basolateral amygdaloid nucleus, ventral part	FFC3B2
BM	basomedial amygdaloid nucleus	777777
BMA	basomedial amygdaloid nucleus, anterior part	FF3800
BMP	basomedial amygdaloid nucleus, posterior part	FFC3B2
Bar	Barrington's nucleus	1DC1F5
Bo	Botzinger complex	94D7EC
Brain	-------	777777
C	-------	4E19D4
C1	C1 adrenaline cells	76C2DA
C2	C2 adrenaline cells	009ED1
C3	C3 adrenaline cells	3BC1EC
CA	-------	777777
CA1	field CA1 of the hippocampus	D5E93B
CA2	field CA2 of the hippocampus	BBD400
CA3	field CA3 of the hippocampus	F6FFB2
CAT	nucleus of the central acoustic tract	4F19D8
CB	cell bridges of the ventral striatum	FFF000
CC	central canal	DF0040
CEnt	caudomedial entothinal cortex	D3E959
CG	central gray	00D821
CGA	central gray, alpha part	B2FFBD
CGB	central gray, beta part	00E922
CGG	central gray, gamma part	59FF72
CGO	central gray, nucleus O	59E970
CGPn	central gray of the pons	00FF2A
CI	caudal interstitial nucleus of the medial longitudinal fasciculus	00DF6C
CIC	central nucleus of the inferior colliculus	5976FF
CL	centrolateral thalamic nucleus	FF9900
CLi	caudal linear nucleus of the raphe	76FFE6
CM	central medial thalamic nucleus	FFE0B2
CPO	caudal periolivary nucleus	00ABE3
CPu	caudate putamen (striatum)	FFEC00
CST	nucleus of the commissural stria terminalis	2CFF00
CVL	caudoventrolateral reticular nucleus	1DC7FF
Cb	cerebellum	777777
Ce	central amygdaloid nucleus	777777
