10Cb	10th cerebellar lobule (nodule)	47DF72
10N	dorsal motor nucleus of vagus	4CBCDF
10n	vagus nerve	CA00D4
11N	accessory nerve nucleus	00FF7A
12GH	hypoglossal nucleus, geniohyoid part	59DF99
12N	hypoglossal nucleus	33BCE7
12n	root of hypoglossal nerve	FA59FF
1Cb	1st cerebellar lobule (lingula)	00FF38
2-3Cb	2nd and 3rd cerebellar lobules	00D43C
2Cb	2nd cerebellar lobule	B2FFC0
2bCb	2b cerebellar lobule	00FF2E
2n	optic nerve	DF493B
3-4Cb	3rd and 4th cerebellar lobules	23F45F
3Cb	3rd cerebellar lobule	23DF59
3N	oculomotor nucleus	B2CEFF
3PC	oculomotor nucleus, parvicellular part	005EFF
3V	3rd ventricle	FFB2DC
3n	oculomotor nerve	FDB2FF
4-5Cb	4th and 5th cerebellar lobules	6BF492
45Cb	-------	B2FFC3
4Cb	4th cerebellar lobule	00DF40
4N	trochlear nucleus	0049E9
4Sh	trochlear nucleus shell region	0050FF
4V	4th ventricle	FF59A4
4n	trochlear nerve	E900E9
5ADi	motor trigeminal nucleus, anterior digastric part	3BD2E9
5Cb	5th cerebellar lobule	6BE98F
5Gn	trigeminal ganglion (Gasseri)	0097C7
5MHy	motor trigeminal nucleus, mylohyoid part	00C9E9
5Ma	motor trigeminal nucleus, masseter part	00DBFF
5N	motor trigeminal nucleus	59E7FF
5Pt	-------	76EBFF
5Sol	trigeminal-solitary transition zone	FFB2BF
5TT	motor trigeminal nucleus, tensor tympani part	3BE3FF
5Te	motor trigeminal nucleus, temporalis part	B2F3FF
5Tr	trigeminal transition zone	5517F6
6Cb	6th cerebellar lobule	76E98D
6N	abducens nucleus	00C5E9
6RB	abducens nucleus, retractor bulbi part	00D7FF
6a	layer 6a of cortex	B2FFC1
6aCb	6a cerebellar lobule	59E975
6b	layer 6b of cortex	59FF79
6bCb	6b cerebellar lobule	00FF32
6cCb	6c cerebellar lobule	00E92E
6n	root of abducens nerve	FF00FB
7Cb	7th cerebellar lobule	47D470
7DI	facial nucleus, dorsal intermediate subnucleus	76E8FF
7DL	facial nucleus, dorsolateral subnucleus	3BDEFF
7DM	facial nucleus, dorsomedial subnucleus	00D3FF
7L	facial nucleus, lateral subnucleus	3BCBE9
7N	facial nucleus	B2F1FF
7SH	facial motor nucleus, stylohyoid part	B2F1FF
7VI	facial nucleus, ventral intermediate subnucleus	76D5E9
7VM	facial nucleus, ventromedial subnucleus	00C0E9
7n	facial nerve	C900FF
7ni	nervus intermedius component of the facial nerve	C800FF
8Cb	8th cerebellar lobule	00F446
8Gn	vestibulocochlear ganglion	66B5CF
